DigimonGroupDigimonSkillId,DigimonGroupDigimonId,SkillId
265,220,207
266,224,270
267,224,169
268,225,249
269,228,296
270,228,171
271,229,291
272,229,170
273,227,145
274,226,145
275,230,191
276,231,144
277,232,147
278,233,168
279,234,254
280,235,301
281,237,135
282,238,148
283,236,133
284,236,145
285,239,129
286,240,201
287,241,127
288,242,200
289,245,152
290,243,152
291,244,152
292,246,194
293,247,205
294,248,173
295,250,208
296,249,208
297,252,189
298,253,228
299,251,264
300,251,185
301,255,170
302,256,298
303,256,219
304,254,253
305,257,194
306,258,225
307,259,198
308,260,198
309,261,248
310,264,253
311,265,282
312,265,173
313,266,238
314,269,155
315,270,266
316,270,243
317,268,126
318,271,126
319,273,219
320,272,219
321,274,219
322,273,215
323,271,298
324,267,126
325,275,284
326,275,167
327,276,147
328,277,168
329,278,254
330,263,211
331,262,211
332,260,294
333,280,195
334,280,275
335,280,295
336,281,196
337,282,196
338,283,250
339,284,245
340,281,282
341,279,244
342,279,274
343,286,203
344,286,191
345,287,157
346,285,283
347,289,245
348,289,250
349,290,147
350,290,246
351,288,211
352,288,169
353,291,293
354,291,228
355,292,151
356,293,151
357,295,178
358,294,178
359,296,220
360,297,244
361,300,274
362,300,200
363,301,133
364,301,157
365,302,157
366,302,129
367,303,194
368,304,225
369,305,171
370,306,171
371,307,247
372,308,180
373,306,271
374,311,163
375,312,263
376,312,122
377,310,185
378,309,185
379,313,185
380,314,167
381,315,167
382,316,238
383,317,126
384,318,126
385,321,198
386,322,198
387,323,248
388,326,253
389,327,282
390,327,173
391,325,211
392,328,211
393,329,182
394,332,255
395,332,221
396,333,264
397,333,215
398,320,215
399,331,189
400,330,189
401,328,265
402,324,211
403,322,294
404,320,219
405,319,219
406,334,219
407,318,298
408,315,284
409,335,170
410,313,268
411,336,197
412,337,213
413,338,169
414,339,169
415,340,196
416,343,130
417,344,286
418,344,191
419,298,191
420,299,191
421,345,191
422,346,212
423,347,292
424,347,191
425,348,191
426,349,249
427,350,145
428,342,207
429,341,207
430,339,270
431,351,232
432,352,285
433,352,161
434,353,216
435,354,123
436,355,132
437,356,235
438,357,243
439,360,176
440,361,165
441,358,165
442,359,165
443,362,147
444,363,168
445,364,254
446,365,144
447,294,283
448,293,283
449,367,193
450,368,249
451,366,131
452,369,293
453,369,228
454,370,151
455,371,171
456,372,171
457,375,249
458,376,191
459,377,191
460,379,274
461,379,200
462,380,133
463,380,157
464,381,157
465,382,244
466,383,191
467,384,212
468,385,292
469,385,191
470,386,255
471,386,221
472,389,182
473,390,265
474,390,211
475,391,211
476,393,253
477,394,282
478,394,173
479,392,211
480,395,248
481,396,294
482,396,198
483,397,198
484,400,219
485,398,219
486,399,219
487,401,298
488,401,126
489,402,126
490,404,155
491,405,266
492,405,243
493,403,126
494,406,238
495,407,284
496,407,167
497,408,167
498,409,170
499,410,170
500,410,291
501,411,268
502,411,185
503,412,185
504,414,163
505,415,263
506,415,122
507,413,185
508,398,215
509,416,215
510,416,264
511,388,189
512,387,189
513,417,178
514,418,178
515,418,283
516,419,220
517,420,196
518,423,130
519,424,286
520,424,191
521,422,207
522,421,207
523,425,270
524,425,169
525,426,169
526,427,232
527,428,285
528,428,161
529,429,144
530,430,147
531,431,168
532,432,254
533,381,129
534,378,191
535,374,145
536,373,145
537,372,296
538,433,171
539,434,247
540,435,180
541,433,271
542,436,194
543,437,225
544,438,216
545,439,123
546,440,132
547,442,176
548,443,165
549,441,165
550,445,199
551,446,292
552,446,191
553,444,257
554,444,225
555,448,204
556,448,278
557,449,232
558,447,195
559,451,132
560,451,216
561,452,210
562,450,169
563,453,255
564,453,221
565,454,221
566,455,297
567,455,126
568,456,236
569,458,241
570,457,241
571,461,262
572,461,185
573,462,295
574,462,122
575,460,124
576,459,124
577,454,257
578,463,158
579,464,182
580,465,226
581,465,167
582,466,239
583,468,239
584,469,271
585,469,220
586,467,171
587,470,273
588,470,243
589,471,257
590,471,221
591,472,164
592,474,184
593,473,245
594,476,185
595,477,147
596,475,184
597,479,234
598,478,234
599,480,276
600,480,151
601,481,226
602,481,170
603,482,204
604,484,224
605,483,273
606,483,182
607,486,193
608,487,186
609,485,259
610,485,124
611,489,257
612,489,179
613,490,301
614,488,247
615,492,242
616,492,139
617,493,195
618,491,174
619,494,216
620,495,123
621,496,132
622,497,136
623,497,149
624,498,149
625,501,174
626,502,131
627,502,212
628,500,139
629,499,139
630,500,155
631,499,155
632,503,138
633,506,159
634,507,148
635,508,148
636,509,209
637,510,195
638,510,193
639,511,193
640,512,259
641,512,124
642,513,186
643,508,275
644,507,130
645,505,135
646,504,135
647,514,210
648,516,146
649,516,167
650,517,288
651,517,179
652,515,223
653,521,242
654,520,187
655,519,187
656,518,161
657,523,184
658,522,245
659,525,233
660,525,231
661,526,278
662,526,240
663,524,160
664,528,227
665,529,196
666,527,149
667,531,131
668,532,131
669,532,174
670,530,275
671,533,247
672,534,180
673,535,271
674,536,271
675,537,231
676,538,287
677,538,171
678,535,171
679,539,203
680,542,250
681,540,250
682,541,250
683,543,279
684,543,201
685,544,260
686,544,184
687,545,184
688,548,227
689,549,290
690,549,238
691,551,230
692,550,230
693,552,188
694,547,245
695,546,245
696,553,154
697,554,278
698,554,240
699,536,246
700,557,143
701,556,252
702,555,252
703,558,179
704,559,289
705,559,225
706,560,302
707,560,274
708,560,256
709,562,234
710,561,234
711,563,276
712,563,151
713,564,226
714,565,226
715,566,272
716,566,176
717,567,277
718,567,171
719,568,150
720,571,273
721,571,182
722,577,160
723,576,160
724,578,160
725,579,261
726,579,161
727,580,161
728,582,187
729,581,187
730,583,233
731,584,256
732,584,221
733,586,204
734,585,204
735,587,156
736,592,184
737,591,245
738,590,245
739,589,227
740,588,227
741,593,175
742,575,199
743,574,199
744,594,267
745,594,131
746,573,242
747,572,242
748,570,224
749,569,224
750,595,269
751,595,236
752,596,166
753,597,251
754,598,202
755,565,190
756,564,170
757,599,124
758,600,193
759,601,186
760,602,252
761,605,206
762,604,143
763,603,143
764,606,281
765,606,241
766,608,127
767,607,127
768,609,172
769,611,141
770,610,141
771,614,228
772,613,228
773,612,229
774,615,255
775,615,221
776,616,189
777,617,264
778,617,215
779,618,238
780,619,126
781,620,284
782,620,167
783,621,297
784,621,126
785,621,210
786,622,248
787,625,253
788,626,282
789,626,173
790,627,238
791,630,155
792,631,266
793,631,243
794,629,126
795,628,126
796,632,284
797,632,167
798,633,167
799,634,170
800,635,268
801,635,185
802,636,147
803,637,168
804,638,254
805,639,203
806,640,250
807,641,278
808,641,240
809,642,246
810,642,271
811,643,271
812,644,247
813,645,180
814,643,171
815,646,171
816,646,287
817,647,231
818,624,211
819,623,211
820,648,294
821,648,198
822,650,184
823,651,268
824,651,219
825,649,147
826,652,178
827,653,178
828,657,217
829,659,220
830,658,220
831,662,158
832,666,189
833,665,189
834,667,265
835,667,211
836,664,182
837,663,182
838,670,235
839,671,243
840,669,165
841,668,165
842,672,165
843,673,176
844,675,241
845,674,241
846,676,124
847,661,255
848,660,255
849,661,221
850,660,221
851,677,264
852,677,215
853,656,197
854,655,197
855,655,167
856,678,213
857,654,283
858,653,283
859,654,151
860,680,239
861,681,217
862,679,163
863,682,196
864,685,130
865,686,130
866,687,159
867,690,136
868,690,149
869,691,210
870,692,249
871,695,296
872,695,171
873,696,291
874,696,170
875,694,145
876,693,145
877,697,191
878,698,191
879,698,286
880,699,144
881,700,169
882,701,169
883,701,270
884,702,232
885,703,285
886,703,161
887,704,216
888,705,123
889,706,132
890,689,135
891,688,135
892,686,148
893,684,207
894,683,207
895,708,209
896,709,133
897,709,232
898,707,144
899,712,158
900,713,182
901,716,235
902,717,243
903,718,243
904,719,155
905,720,155
906,721,174
907,722,131
908,722,212
909,723,247
910,724,180
911,725,271
912,726,271
913,727,231
914,728,287
915,728,171
916,729,171
917,732,249
918,733,191
919,734,191
920,735,130
921,736,130
922,737,159
923,740,136
924,740,149
925,741,210
926,742,253
927,743,211
928,744,282
929,744,173
930,745,178
931,746,178
932,750,217
933,752,220
934,751,220
935,749,197
936,748,197
937,748,167
938,753,167
939,754,238
940,756,126
941,755,126
942,757,126
943,758,257
944,758,221
945,710,221
946,711,221
947,759,236
948,757,297
949,753,284
950,760,167
951,761,170
952,762,170
953,762,291
954,763,268
955,763,185
956,764,185
957,768,241
958,767,241
959,766,124
960,765,124
961,769,295
962,769,122
963,764,262
964,770,213
965,771,169
966,772,232
967,773,285
968,773,161
969,774,216
970,775,123
971,776,132
972,777,275
973,777,148
974,736,148
975,778,209
976,779,195
977,779,193
978,747,283
979,746,283
980,747,151
981,780,144
982,781,147
983,782,168
984,783,254
985,786,250
986,784,250
987,785,250
988,787,279
989,788,203
990,789,278
991,789,240
992,739,135
993,738,135
994,790,207
995,734,286
996,731,145
997,730,145
998,729,296
999,725,171
1000,726,246
1001,720,139
1002,718,266
1003,715,165
1004,714,165
1005,791,165
1006,792,176
1007,711,255
1008,710,255
1009,793,189
1010,794,264
1011,794,215
1012,796,230
1013,797,154
1014,795,260
1015,795,184
1016,799,231
1017,799,247
1018,800,301
1019,798,198
1020,801,249
1021,804,296
1022,804,171
1023,805,291
1024,805,170
1025,806,144
1026,807,169
1027,808,232
1028,809,285
1029,809,161
1030,810,216
1031,811,123
1032,812,132
1033,813,136
1034,813,149
1035,814,149
1036,817,174
1037,818,131
1038,818,212
1039,816,139
1040,815,139
1041,816,155
1042,815,155
1043,819,138
1044,822,159
1045,823,148
1046,824,148
1047,825,209
1048,826,195
1049,826,193
1050,824,275
1051,823,130
1052,821,135
1053,820,135
1054,827,210
1055,803,145
1056,802,145
1057,828,191
1058,830,224
1059,830,158
1060,831,252
1061,829,230
1062,829,279
1063,832,238
1064,833,238
1065,836,260
1066,836,184
1067,837,154
1068,838,246
1069,838,271
1070,839,271
1071,840,247
1072,841,180
1073,839,171
1074,842,171
1075,842,287
1076,843,231
1077,844,203
1078,847,250
1079,845,250
1080,846,250
1081,848,279
1082,848,201
1083,849,155
1084,851,126
1085,850,126
1086,852,266
1087,852,243
1088,853,147
1089,854,168
1090,855,254
1091,856,167
1092,857,167
1093,857,284
1094,858,170
1095,859,268
1096,859,185
1097,860,278
1098,860,240
1099,835,230
1100,834,230
1101,861,188
1102,833,290
1103,863,179
1104,864,289
1105,864,225
1106,862,252
1107,866,143
1108,866,130
1109,867,159
1110,865,136
1111,868,178
1112,869,178
1113,873,217
1114,875,220
1115,874,220
1116,876,235
1117,877,243
1118,878,243
1119,881,297
1120,881,126
1121,882,236
1122,884,165
1123,883,165
1124,885,165
1125,886,176
1126,887,255
1127,887,221
1128,880,221
1129,879,221
1130,888,158
1131,889,182
1132,891,241
1133,890,241
1134,894,262
1135,894,185
1136,895,295
1137,895,122
1138,893,124
1139,892,124
1140,880,257
1141,879,257
1142,896,164
1143,878,273
1144,872,197
1145,871,197
1146,871,167
1147,897,167
1148,898,239
1149,897,226
1150,899,213
1151,870,283
1152,869,283
1153,870,151
1154,901,139
1155,902,248
1156,900,212
1157,903,212
1158,904,295
1159,904,159
1160,905,246
1161,906,212
1162,907,151
1163,908,262
1164,908,185
1165,906,164
1166,909,212
1167,910,154
1168,911,188
1169,909,180
1170,912,212
1171,913,209
1172,914,161
1173,912,123
1174,915,212
1175,917,186
1176,916,212
1177,919,233
1178,920,176
1179,920,271
1180,918,124
1181,922,165
1182,921,165
1183,923,176
1184,924,167
1185,925,167
1186,926,213
1187,927,283
1188,927,151
1189,928,151
1190,930,234
1191,929,234
1192,928,276
1193,931,169
1194,932,232
1195,933,285
1196,933,161
1197,934,161
1198,935,187
1199,936,216
1200,937,123
1201,938,132
1202,939,246
1203,939,271
1204,940,271
1205,941,247
1206,942,180
1207,943,174
1208,950,273
1209,950,243
1210,951,164
1211,949,257
1212,948,257
1213,949,221
1214,952,221
1215,953,158
1216,954,182
1217,952,255
1218,948,221
1219,955,236
1220,947,297
1221,947,126
1222,946,149
1223,956,149
1224,959,159
1225,960,148
1226,961,148
1227,962,209
1228,963,195
1229,963,193
1230,964,193
1231,965,259
1232,965,124
1233,966,124
1234,968,262
1235,968,185
1236,969,185
1237,969,268
1238,970,295
1239,970,122
1240,967,124
1241,972,241
1242,971,241
1243,973,186
1244,961,275
1245,960,130
1246,958,135
1247,957,135
1248,974,210
1249,956,136
1250,975,138
1251,945,139
1252,944,139
1253,945,155
1254,944,155
1255,976,131
1256,976,212
1257,979,204
1258,978,226
1259,977,226
1260,978,170
1261,980,170
1262,977,167
1263,981,239
1264,940,171
1265,982,171
1266,982,287
1267,983,231
1268,984,260
1269,984,184
1270,985,184
1271,986,245
1272,989,290
1273,989,238
1274,990,188
1275,988,230
1276,987,230
1277,991,154
1278,992,203
1279,995,250
1280,993,250
1281,994,250
1282,996,279
1283,996,201
1284,997,278
1285,997,240
1286,925,197
1287,998,167
1288,999,223
1289,1000,288
1290,1000,179
1291,1001,179
1292,1004,143
1293,1003,252
1294,1002,252
1295,1005,289
1296,1005,225
1297,998,146
1298,1007,161
1299,1006,161
1300,1008,231
1301,1009,303
1302,1009,197
1303,1012,181
1304,1013,141
1305,1016,122
1306,1017,122
1307,1018,262
1308,1018,185
1309,1019,185
1310,1020,171
1311,1021,171
1312,1022,145
1313,1023,291
1314,1023,170
1315,1024,170
1316,1025,167
1317,1026,167
1318,1030,256
1319,1030,221
1320,1014,221
1321,1015,221
1322,1031,221
1323,1032,158
1324,1035,189
1325,1036,265
1326,1036,211
1327,1037,211
1328,1038,253
1329,1039,282
1330,1039,173
1331,1040,191
1332,1041,191
1333,1042,301
1334,1043,191
1335,1044,244
1336,1045,157
1337,1045,129
1338,1046,129
1339,1047,191
1340,1047,292
1341,1048,191
1342,1049,130
1343,1050,130
1344,1051,159
1345,1054,136
1346,1054,149
1347,1055,149
1348,1061,224
1349,1062,174
1350,1065,138
1351,1064,139
1352,1063,139
1353,1064,155
1354,1066,155
1355,1067,126
1356,1068,126
1357,1070,219
1358,1069,219
1359,1068,298
1360,1056,126
1361,1071,266
1362,1071,243
1363,1072,243
1364,1073,235
1365,1074,165
1366,1059,243
1367,1063,155
1368,1075,131
1369,1076,131
1370,1081,161
1371,1082,161
1372,1083,169
1373,1084,232
1374,1082,285
1375,1080,187
1376,1079,187
1377,1078,242
1378,1077,242
1379,1085,199
1380,1076,267
1381,1075,212
1382,1086,212
1383,1087,239
1384,1089,234
1385,1088,234
1386,1090,276
1387,1090,151
1388,1091,151
1389,1093,178
1390,1092,178
1391,1094,220
1392,1092,283
1393,1091,283
1394,1095,197
1395,1096,213
1396,1097,259
1397,1097,124
1398,1098,124
1399,1099,124
1400,1101,241
1401,1100,241
1402,1102,246
1403,1102,271
1404,1103,231
1405,1104,287
1406,1104,171
1407,1105,203
1408,1108,250
1409,1106,250
1410,1107,250
1411,1109,279
1412,1110,278
1413,1110,240
1414,1111,240
1415,1112,275
1416,1112,148
1417,1050,148
1418,1113,209
1419,1114,195
1420,1114,193
1421,1115,193
1422,1116,260
1423,1116,184
1424,1117,184
1425,1120,227
1426,1119,245
1427,1118,245
1428,1123,290
1429,1123,238
1430,1124,188
1431,1122,230
1432,1121,230
1433,1125,154
1434,1126,186
1435,1129,206
1436,1128,143
1437,1127,143
1438,1132,179
1439,1133,179
1440,1134,223
1441,1135,146
1442,1135,167
1443,1133,288
1444,1136,289
1445,1136,225
1446,1137,225
1447,1141,152
1448,1140,152
1449,1139,194
1450,1138,194
1451,1131,252
1452,1130,252
1453,1060,273
1454,1059,273
1455,1060,182
1456,1034,182
1457,1033,182
1458,1142,164
1459,1058,257
1460,1057,257
1461,1058,221
1462,1057,221
1463,1143,236
1464,1056,297
1465,1144,210
1466,1053,135
1467,1052,135
1468,1145,207
1469,1048,286
1470,1031,255
1471,1029,204
1472,1028,204
1473,1027,226
1474,1026,226
1475,1027,170
1476,1146,268
1477,1146,185
1478,1021,296
1479,1017,295
1480,1147,214
1481,1148,140
1482,1149,137
1483,1150,134
1484,1151,201
1485,1152,127
1486,1011,215
1487,1010,215
1488,1153,208
1489,1154,304
1490,1154,143
1491,1155,255
1492,1155,221
1493,1156,221
1494,1162,150
1495,1163,269
1496,1163,236
1497,1164,236
1498,1169,174
1499,1170,131
1500,1171,131
1501,1176,161
1502,1175,187
1503,1174,187
1504,1181,256
1505,1181,221
1506,1183,241
1507,1182,241
1508,1186,262
1509,1186,185
1510,1187,295
1511,1187,122
1512,1188,136
1513,1188,149
1514,1166,149
1515,1191,159
1516,1192,148
1517,1193,148
1518,1194,209
1519,1195,195
1520,1195,193
1521,1196,193
1522,1197,259
1523,1197,124
1524,1184,124
1525,1185,124
1526,1198,186
1527,1199,246
1528,1199,271
1529,1200,231
1530,1201,287
1531,1201,171
1532,1202,260
1533,1202,184
1534,1203,184
1535,1208,156
1536,1209,175
1537,1207,227
1538,1206,227
1539,1205,245
1540,1204,245
1541,1212,290
1542,1212,238
1543,1213,188
1544,1211,230
1545,1210,230
1546,1214,154
1547,1215,223
1548,1216,146
1549,1216,167
1550,1177,167
1551,1217,288
1552,1217,179
1553,1218,179
1554,1223,206
1555,1222,143
1556,1221,143
1557,1220,252
1558,1219,252
1559,1224,289
1560,1224,225
1561,1193,275
1562,1192,130
1563,1190,135
1564,1189,135
1565,1225,210
1566,1226,203
1567,1229,250
1568,1227,250
1569,1228,250
1570,1230,279
1571,1230,201
1572,1231,278
1573,1231,240
1574,1180,204
1575,1179,204
1576,1178,226
1577,1177,226
1578,1178,170
1579,1232,239
1580,1234,234
1581,1233,234
1582,1235,276
1583,1235,151
1584,1173,242
1585,1172,242
1586,1239,160
1587,1238,160
1588,1237,199
1589,1236,199
1590,1171,267
1591,1170,212
1592,1168,139
1593,1167,139
1594,1168,155
1595,1167,155
1596,1240,138
1597,1165,297
1598,1165,126
1599,1161,224
1600,1160,224
1601,1159,273
1602,1158,273
1603,1159,182
1604,1241,182
1605,1158,243
1606,1242,164
1607,1157,257
1608,1156,257
1609,1157,221
1610,1243,158
1611,1244,313
1612,1244,306
1613,1244,305
1614,1246,309
1615,1246,310
1616,1246,314
1617,1247,312
1618,1247,311
1619,1245,307
1620,1245,308
