DigimonCombineId,DigimonAId,DigimonBId,DigimonResultId
40229,103,140,33
40230,103,86,10
40231,103,177,98
40232,103,87,10
40233,103,88,3
40234,103,141,32
40235,103,142,98
40236,103,143,65
40237,103,178,84
40238,103,89,3
40239,103,90,10
40240,103,91,3
40242,103,92,10
40243,103,144,98
40244,103,145,65
40245,103,93,21
40246,103,94,3
40247,103,146,33
40248,103,95,31
40249,103,96,10
40250,103,97,3
40251,103,147,32
40252,103,98,3
40253,103,99,28
40254,103,148,33
40255,103,179,98
40256,103,180,98
40257,103,149,84
40258,103,150,32
40259,103,151,84
40260,103,152,32
40261,103,100,10
40262,103,101,28
40263,103,102,10
40264,103,153,32
40265,32,32,3
40266,32,33,10
40267,32,104,3
40268,32,34,3
40269,32,105,3
40270,32,35,3
40271,32,154,10
40272,32,36,3
40273,32,37,3
40274,32,106,21
40275,32,107,10
40276,32,155,10
40277,32,38,10
40278,32,184,
40279,32,108,28
40280,32,39,10
40281,32,40,10
40282,32,194,
40283,32,195,
40284,32,191,
40285,32,41,31
40286,32,42,31
40287,32,109,3
40288,32,44,31
40289,32,110,10
40290,32,45,31
40291,32,46,3
40292,32,156,28
40293,32,111,10
40294,32,47,3
40295,32,112,3
40296,32,48,10
40297,32,43,31
40298,32,113,3
40299,32,114,31
40300,32,49,3
40301,32,50,10
40302,32,51,28
40303,32,52,3
40304,32,115,3
40305,32,116,3
40306,32,53,3
40307,32,54,3
40308,32,55,3
40309,32,56,3
40310,32,117,31
40311,32,118,3
40312,32,157,28
40313,32,182,31
40314,32,158,10
40315,32,193,
40316,32,192,
40317,32,185,
40318,32,57,3
40319,32,58,3
40320,32,159,28
40321,32,59,3
40322,32,60,3
40323,32,61,10
40324,32,160,3
40325,32,62,3
40326,32,161,3
40327,32,63,10
40328,32,64,28
40329,32,181,10
40330,32,65,10
40331,32,66,10
40332,32,67,28
40333,32,189,
40334,32,68,3
40335,32,119,21
40336,32,162,31
40337,32,120,3
40338,32,163,3
40339,32,121,10
40340,32,122,3
40341,32,164,3
40342,32,123,3
40343,32,124,31
40344,32,125,31
40345,32,127,10
40346,32,69,10
40347,32,165,3
40348,32,128,31
40349,32,129,10
40350,32,130,31
40351,32,131,10
40352,32,166,10
40353,32,126,28
40354,32,73,3
40355,32,70,10
40356,32,132,3
40357,32,71,10
40358,32,167,10
40359,32,72,10
40360,32,133,3
40361,32,74,3
40362,32,76,10
40363,32,183,
40364,32,75,10
40365,32,77,3
40366,32,78,3
40367,32,79,3
40368,32,134,28
40369,32,168,31
40370,32,187,
40371,32,188,
40372,32,135,3
40373,32,136,3
40374,32,169,3
40375,32,81,3
40376,32,170,3
40377,32,137,10
40378,32,172,10
40379,32,171,10
40380,32,80,3
40381,32,173,3
40382,32,138,21
40383,32,174,28
40384,32,139,3
40385,32,82,3
40386,32,83,28
40387,32,190,
40388,32,175,21
40389,32,84,3
40390,32,176,10
40391,32,85,10
40392,32,140,10
40393,32,86,10
40394,32,177,3
40395,32,87,10
40396,32,88,3
40397,32,141,3
40398,32,142,31
40399,32,143,10
40400,32,178,3
40401,32,89,3
40402,32,90,10
40403,32,91,3
40405,32,92,10
40406,32,144,3
40407,32,145,10
40408,32,93,21
40409,32,94,3
40410,32,146,10
40411,32,95,31
40412,32,96,10
40413,32,97,3
40414,32,147,3
40415,32,98,3
40416,32,99,28
40417,32,148,10
40418,32,179,3
40419,32,180,31
40420,32,149,3
40421,32,150,3
40422,32,151,3
40423,32,152,3
40424,32,100,10
40425,32,101,28
40426,32,102,10
40427,32,153,3
40428,33,33,10
40429,33,104,10
40430,33,34,10
40431,33,105,10
40432,33,35,10
40433,33,154,10
40434,33,36,8
40435,33,37,10
40436,33,106,21
40437,33,107,10
40438,33,155,10
40439,33,38,10
40440,33,184,
40441,33,108,19
40442,33,39,10
40443,33,40,10
40444,33,194,
40445,33,195,
40446,33,191,
40447,33,41,8
40448,33,42,8
40449,33,109,8
40450,33,44,8
40451,33,110,10
40452,33,45,8
40453,33,46,8
40454,33,156,18
40455,33,111,10
40456,33,47,10
40457,33,112,8
40458,33,48,10
40459,33,43,8
40460,33,113,8
40461,33,114,8
40462,33,49,10
40463,33,50,10
40464,33,51,18
40465,33,52,10
40466,33,115,8
40467,33,116,10
40468,33,53,10
40469,33,54,10
40470,33,55,8
40471,33,56,8
40472,33,117,8
40473,33,118,10
40474,33,157,18
40475,33,182,10
40476,33,158,10
40477,33,193,
40478,33,192,
40479,33,185,
40480,33,57,8
40481,33,58,10
40482,33,159,10
40483,33,59,8
40484,33,60,8
40485,33,61,10
40486,33,160,10
40487,33,62,10
40488,33,161,10
40489,33,63,10
40490,33,64,10
40491,33,181,10
40492,33,65,10
40493,33,66,10
40494,33,67,18
40495,33,189,
40496,33,68,10
40497,33,119,21
40498,33,162,8
40499,33,120,10
40500,33,163,10
40501,33,121,10
40502,33,122,10
40503,33,164,10
40504,33,123,8
40505,33,124,10
40506,33,125,8
40507,33,127,10
40508,33,69,10
40509,33,165,8
40510,33,128,10
40511,33,129,10
40512,33,130,8
40513,33,131,10
40514,33,166,10
40515,33,126,10
40516,33,73,10
40517,33,70,10
40518,33,132,10
40519,33,71,10
40520,33,167,10
40521,33,72,10
40522,33,133,8
40523,33,74,8
40524,33,76,10
40525,33,183,
40526,33,75,10
40527,33,77,8
40528,33,78,8
40529,33,79,8
40530,33,134,18
40531,33,168,10
40532,33,187,
40533,33,188,
40534,33,135,10
40535,33,136,8
40536,33,169,10
40537,33,81,10
40538,33,170,8
40539,33,137,10
40540,33,172,10
40541,33,171,10
40542,33,80,8
40543,33,173,8
40544,33,138,21
40545,33,174,19
40546,33,139,10
40547,33,82,8
40548,33,83,19
40549,33,190,
40550,33,175,21
40551,33,84,10
40552,33,176,10
40553,33,85,10
40554,33,140,10
40555,33,86,10
40556,33,177,10
40557,33,87,10
40558,33,88,10
40559,33,141,8
40560,33,142,8
40561,33,143,10
40562,33,178,10
40563,33,89,8
40564,33,90,10
40565,33,91,8
40567,33,92,10
40568,33,144,8
40569,33,145,10
40570,33,93,21
40571,33,94,10
40572,33,146,10
40573,33,95,8
40574,33,96,10
40575,33,97,10
40576,33,147,8
40577,33,98,10
40578,33,99,19
40579,33,148,10
40580,33,179,8
40581,33,180,10
40582,33,149,8
40583,33,150,8
40584,33,151,10
40585,33,152,10
40586,33,100,10
40587,33,101,19
40588,33,102,10
40589,33,153,10
40590,104,104,34
40591,104,34,5
40592,104,105,34
40593,104,35,29
40594,104,154,75
40595,104,36,5
40596,104,37,3
40597,104,106,93
40598,104,107,38
40599,104,155,38
40600,104,38,22
40601,104,184,
40602,104,108,64
40603,104,39,16
40604,104,40,6
40605,104,194,
40606,104,195,
40607,104,191,
40608,104,41,29
40609,104,42,29
40610,104,109,52
40611,104,44,29
40612,104,110,65
40613,104,45,29
40614,104,46,5
40615,104,156,64
40616,104,111,90
40617,104,47,15
40618,104,112,62
40619,104,48,22
40620,104,43,29
40621,104,113,68
40622,104,114,54
40623,104,49,3
40624,104,50,22
40625,104,51,28
40626,104,52,29
40627,104,115,52
40628,104,116,98
40629,104,53,29
40630,104,54,5
40631,104,55,15
40632,104,56,15
40633,104,117,54
40634,104,118,34
40635,104,157,64
40636,104,182,29
40637,104,158,65
40638,104,193,
40639,104,192,
40640,104,185,
40641,104,57,24
40642,104,58,29
40643,104,159,64
40644,104,59,29
40645,104,60,5
40646,104,61,22
40647,104,160,98
40648,104,62,15
40649,104,161,68
40650,104,63,22
40651,104,64,28
40652,104,181,38
40653,104,65,10
40654,104,66,10
40655,104,67,28
40656,104,189,
40657,104,68,5
40658,104,119,93
40659,104,162,54
40660,104,120,34
40661,104,163,34
40662,104,121,90
40663,104,122,68
40664,104,164,62
40665,104,123,62
40666,104,124,54
40667,104,125,54
40668,104,127,86
40669,104,69,16
40670,104,165,68
40671,104,128,54
40672,104,129,90
40673,104,130,54
40674,104,131,75
40675,104,166,75
40676,104,126,64
40677,104,73,29
40678,104,70,22
40679,104,132,68
40680,104,71,6
40681,104,167,86
40682,104,72,22
40683,104,133,34
40684,104,74,5
40685,104,76,22
40686,104,183,
40687,104,75,22
40688,104,77,24
40689,104,78,15
40690,104,79,29
40691,104,134,64
40692,104,168,54
40693,104,187,
40694,104,188,
40695,104,135,34
40696,104,136,34
40697,104,169,98
40698,104,81,5
40699,104,170,34
40700,104,137,65
40701,104,172,90
40702,104,171,86
40703,104,80,24
40704,104,173,62
40705,104,138,93
40706,104,174,64
40707,104,139,98
40708,104,82,24
40709,104,83,28
40710,104,190,
40711,104,175,93
40712,104,84,3
40713,104,176,90
40714,104,85,10
40715,104,140,86
40716,104,86,6
40717,104,177,34
40718,104,87,6
40719,104,88,29
40720,104,141,62
40721,104,142,54
40722,104,143,38
40723,104,178,68
40724,104,89,5
40725,104,90,22
40726,104,91,24
40728,104,92,16
40729,104,144,34
40730,104,145,38
40731,104,93,21
40732,104,94,15
40733,104,146,100
40734,104,95,29
40735,104,96,22
40736,104,97,29
40737,104,147,52
40738,104,98,3
40739,104,99,28
40740,104,148,100
40741,104,179,34
40742,104,180,54
40743,104,149,68
40744,104,150,62
40745,104,151,68
40746,104,152,62
40747,104,100,22
40748,104,101,28
40749,104,102,10
40750,104,153,62
40751,34,34,5
40752,34,105,5
40753,34,35,29
40754,34,154,22
40755,34,36,5
40756,34,37,3
40757,34,106,21
40758,34,107,16
40759,34,155,16
40760,34,38,22
40761,34,184,
40762,34,108,28
40763,34,39,16
40764,34,40,6
40765,34,194,
40766,34,195,
40767,34,191,
40768,34,41,29
40769,34,42,29
40770,34,109,24
40771,34,44,29
40772,34,110,10
40773,34,45,29
40774,34,46,5
40775,34,156,28
40776,34,111,22
40777,34,47,15
40778,34,112,15
40779,34,48,22
40780,34,43,29
40781,34,113,29
40782,34,114,29
40783,34,49,3
40784,34,50,22
40785,34,51,28
40786,34,52,29
40787,34,115,24
40788,34,116,3
40789,34,53,29
40790,34,54,5
40791,34,55,15
40792,34,56,15
40793,34,117,29
40794,34,118,5
40795,34,157,28
40796,34,182,29
40797,34,158,10
40798,34,193,
40799,34,192,
40800,34,185,
40801,34,57,24
40802,34,58,29
40803,34,159,28
40804,34,59,29
40805,34,60,5
40806,34,61,22
40807,34,160,3
40808,34,62,15
40809,34,161,29
40810,34,63,22
40811,34,64,28
40812,34,181,16
40813,34,65,10
40814,34,66,10
40815,34,67,28
40816,34,189,
40817,34,68,5
40818,34,119,21
40819,34,162,29
40820,34,120,5
40821,34,163,5
40822,34,121,22
40823,34,122,29
40824,34,164,15
40825,34,123,15
40826,34,124,29
40827,34,125,29
40828,34,127,6
40829,34,69,16
40830,34,165,29
40831,34,128,29
40832,34,129,22
40833,34,130,29
40834,34,131,22
40835,34,166,22
40836,34,126,28
40837,34,73,29
40838,34,70,22
40839,34,132,29
40840,34,71,6
40841,34,167,6
40842,34,72,22
40843,34,133,5
40844,34,74,5
40845,34,76,22
40846,34,183,
40847,34,75,22
40848,34,77,24
40849,34,78,15
40850,34,79,29
40851,34,134,28
40852,34,168,29
40853,34,187,
40854,34,188,
40855,34,135,5
40856,34,136,5
40857,34,169,3
40858,34,81,5
40859,34,170,5
40860,34,137,10
40861,34,172,22
40862,34,171,6
40863,34,80,24
40864,34,173,15
40865,34,138,21
40866,34,174,28
40867,34,139,3
40868,34,82,24
40869,34,83,28
40870,34,190,
40871,34,175,21
40872,34,84,3
40873,34,176,22
40874,34,85,10
40875,34,140,6
40876,34,86,6
40877,34,177,5
40878,34,87,6
40879,34,88,29
40880,34,141,15
40881,34,142,29
40882,34,143,16
40883,34,178,29
40884,34,89,5
40885,34,90,22
40886,34,91,24
40888,34,92,16
40889,34,144,5
40890,34,145,16
40891,34,93,21
40892,34,94,15
40893,34,146,22
40894,34,95,29
40895,34,96,22
40896,34,97,29
40897,34,147,24
40898,34,98,3
40899,34,99,28
40900,34,148,22
40901,34,179,5
40902,34,180,29
40903,34,149,29
40904,34,150,15
40905,34,151,29
40906,34,152,15
40907,34,100,22
40908,34,101,28
40909,34,102,10
40910,34,153,15
40911,105,105,34
40912,105,35,29
40913,105,154,75
40914,105,36,5
40915,105,37,3
40916,105,106,93
40917,105,107,38
40918,105,155,38
40919,105,38,22
40920,105,184,
40921,105,108,64
40922,105,39,16
40923,105,40,6
40924,105,194,
40925,105,195,
40926,105,191,
40927,105,41,29
40928,105,42,29
40929,105,109,52
40930,105,44,29
40931,105,110,65
40932,105,45,29
40933,105,46,5
40934,105,156,64
40935,105,111,90
40936,105,47,15
40937,105,112,62
40938,105,48,22
40939,105,43,29
40940,105,113,68
40941,105,114,54
40942,105,49,3
40943,105,50,22
40944,105,51,28
40945,105,52,29
40946,105,115,52
40947,105,116,98
40948,105,53,29
40949,105,54,5
40950,105,55,15
40951,105,56,15
40952,105,117,54
40953,105,118,34
40954,105,157,64
40955,105,182,29
40956,105,158,65
40957,105,193,
40958,105,192,
40959,105,185,
40960,105,57,24
40961,105,58,29
40962,105,159,64
40963,105,59,29
40964,105,60,5
40965,105,61,22
40966,105,160,98
40967,105,62,15
40968,105,161,68
40969,105,63,22
40970,105,64,28
40971,105,181,38
40972,105,65,10
40973,105,66,10
40974,105,67,28
40975,105,189,
40976,105,68,5
40977,105,119,93
40978,105,162,54
40979,105,120,34
40980,105,163,34
40981,105,121,90
40982,105,122,68
40983,105,164,62
40984,105,123,62
40985,105,124,54
40986,105,125,54
40987,105,127,86
40988,105,69,16
40989,105,165,68
40990,105,128,54
40991,105,129,90
40992,105,130,54
40993,105,131,75
40994,105,166,75
40995,105,126,64
40996,105,73,29
40997,105,70,22
40998,105,132,68
40999,105,71,6
41000,105,167,86
41001,105,72,22
41002,105,133,34
41003,105,74,5
41004,105,76,22
41005,105,183,
41006,105,75,22
41007,105,77,24
41008,105,78,15
41009,105,79,29
41010,105,134,64
41011,105,168,54
41012,105,187,
41013,105,188,
41014,105,135,34
41015,105,136,34
41016,105,169,98
41017,105,81,5
41018,105,170,34
41019,105,137,65
41020,105,172,90
41021,105,171,86
41022,105,80,24
41023,105,173,62
41024,105,138,93
41025,105,174,64
41026,105,139,98
41027,105,82,24
41028,105,83,28
41029,105,190,
41030,105,175,93
41031,105,84,3
41032,105,176,90
41033,105,85,10
41034,105,140,86
41035,105,86,6
41036,105,177,34
41037,105,87,6
41038,105,88,29
41039,105,141,62
41040,105,142,54
41041,105,143,38
41042,105,178,68
41043,105,89,5
41044,105,90,22
41045,105,91,24
41047,105,92,16
41048,105,144,34
41049,105,145,38
41050,105,93,21
41051,105,94,15
41052,105,146,100
41053,105,95,29
41054,105,96,22
41055,105,97,29
41056,105,147,52
41057,105,98,3
41058,105,99,28
41059,105,148,100
41060,105,179,34
41061,105,180,54
41062,105,149,68
41063,105,150,62
41064,105,151,68
41065,105,152,62
41066,105,100,22
41067,105,101,28
41068,105,102,10
41069,105,153,62
41070,35,35,27
41071,35,154,11
41072,35,36,29
41073,35,37,3
41074,35,106,11
41075,35,107,16
41076,35,155,16
41077,35,38,11
41078,35,184,
41079,35,108,27
41080,35,39,16
41081,35,40,16
41082,35,194,
41083,35,195,
41084,35,191,
41085,35,41,24
41086,35,42,24
41087,35,109,24
41088,35,44,24
41089,35,110,10
41090,35,45,24
41091,35,46,29
41092,35,156,28
41093,35,111,22
41094,35,47,27
41095,35,112,27
41096,35,48,11
41097,35,43,24
41098,35,113,27
41099,35,114,24
41100,35,49,3
41101,35,50,11
41102,35,51,28
41103,35,52,27
41104,35,115,24
41105,35,116,3
41106,35,53,27
41107,35,54,29
41108,35,55,27
41109,35,56,27
41110,35,117,24
41111,35,118,29
41112,35,157,28
41113,35,182,24
41114,35,158,10
41115,35,193,
41116,35,192,
41117,35,185,
41118,35,57,24
41119,35,58,27
41120,35,159,28
41121,35,59,27
41122,35,60,29
41123,35,61,11
41124,35,160,3
41125,35,62,27
41126,35,161,27
41127,35,63,11
41128,35,64,28
41129,35,181,16
41130,35,65,10
41131,35,66,10
41132,35,67,28
41133,35,189,
41134,35,68,29
41135,35,119,11
41136,35,162,24
41137,35,120,29
41138,35,163,29
41139,35,121,22
41140,35,122,27
41141,35,164,27
41142,35,123,27
41143,35,124,24
41144,35,125,24
41145,35,127,16
41146,35,69,16
41147,35,165,27
41148,35,128,24
41149,35,129,22
41150,35,130,24
41151,35,131,11
41152,35,166,11
41153,35,126,28
41154,35,73,27
41155,35,70,11
41156,35,132,27
41157,35,71,16
41158,35,167,16
41159,35,72,11
41160,35,133,29
41161,35,74,29
41162,35,76,11
41163,35,183,
41164,35,75,22
41165,35,77,24
41166,35,78,27
41167,35,79,27
41168,35,134,28
41169,35,168,24
41170,35,187,
41171,35,188,
41172,35,135,29
41173,35,136,29
41174,35,169,3
41175,35,81,29
41176,35,170,29
41177,35,137,10
41178,35,172,22
41179,35,171,16
41180,35,80,24
41181,35,173,27
41182,35,138,11
41183,35,174,27
41184,35,139,3
41185,35,82,24
41186,35,83,27
41187,35,190,
41188,35,175,11
41189,35,84,3
41190,35,176,22
41191,35,85,10
41192,35,140,16
41193,35,86,16
41194,35,177,29
41195,35,87,16
41196,35,88,27
41197,35,141,27
41198,35,142,24
41199,35,143,16
41200,35,178,27
41201,35,89,29
41202,35,90,22
41203,35,91,24
41205,35,92,16
41206,35,144,29
41207,35,145,16
41208,35,93,11
41209,35,94,27
41210,35,146,11
41211,35,95,24
41212,35,96,11
41213,35,97,27
41214,35,147,24
41215,35,98,3
41216,35,99,27
41217,35,148,11
41218,35,179,29
41219,35,180,24
41220,35,149,27
41221,35,150,27
41222,35,151,27
41223,35,152,27
41224,35,100,22
41225,35,101,27
41226,35,102,10
41227,35,153,27
41228,154,154,131
41229,154,36,12
41230,154,37,10
41231,154,106,63
41232,154,107,72
41233,154,155,131
41234,154,38,11
41235,154,184,
41236,154,108,79
41237,154,39,16
41238,154,40,16
41239,154,194,
41240,154,195,
41241,154,191,
41242,154,41,14
41243,154,42,14
41244,154,109,59
41245,154,44,14
41246,154,110,66
41247,154,45,14
41248,154,46,12
41249,154,156,134
41250,154,111,75
41251,154,47,16
41252,154,112,59
41253,154,48,11
41254,154,43,14
41255,154,113,79
41256,154,114,79
41257,154,49,10
41258,154,50,11
41259,154,51,18
41260,154,52,11
41261,154,115,59
41262,154,116,66
41263,154,53,11
41264,154,54,22
41265,154,55,25
41266,154,56,25
41267,154,117,79
41268,154,118,75
41269,154,157,134
41270,154,182,11
41271,154,158,110
41272,154,193,
41273,154,192,
41274,154,185,
41275,154,57,25
41276,154,58,11
41277,154,159,85
41278,154,59,14
41279,154,60,12
41280,154,61,11
41281,154,160,110
41282,154,62,16
41283,154,161,131
41284,154,63,11
41285,154,64,10
41286,154,181,131
41287,154,65,10
41288,154,66,10
41289,154,67,18
41290,154,189,
41291,154,68,22
41292,154,119,63
41293,154,162,113
41294,154,120,75
41295,154,163,121
41296,154,121,75
41297,154,122,61
41298,154,164,131
41299,154,123,59
41300,154,124,48
41301,154,125,79
41302,154,127,76
41303,154,69,16
41304,154,165,113
41305,154,128,48
41306,154,129,75
41307,154,130,79
41308,154,131,61
41309,154,166,131
41310,154,126,85
41311,154,73,11
41312,154,70,11
41313,154,132,61
41314,154,71,16
41315,154,167,131
41316,154,72,11
41317,154,133,36
41318,154,74,12
41319,154,76,11
41320,154,183,
41321,154,75,22
41322,154,77,25
41323,154,78,25
41324,154,79,14
41325,154,134,67
41326,154,168,131
41327,154,187,
41328,154,188,
41329,154,135,75
41330,154,136,36
41331,154,169,110
41332,154,81,22
41333,154,170,136
41334,154,137,66
41335,154,172,121
41336,154,171,131
41337,154,80,25
41338,154,173,149
41339,154,138,63
41340,154,174,113
41341,154,139,66
41342,154,82,25
41343,154,83,14
41344,154,190,
41345,154,175,131
41346,154,84,10
41347,154,176,121
41348,154,85,10
41349,154,140,76
41350,154,86,16
41351,154,177,121
41352,154,87,16
41353,154,88,11
41354,154,141,59
41355,154,142,79
41356,154,143,72
41357,154,178,131
41358,154,89,12
41359,154,90,22
41360,154,91,25
41362,154,92,16
41363,154,144,36
41364,154,145,72
41365,154,93,11
41366,154,94,16
41367,154,146,48
41368,154,95,14
41369,154,96,11
41370,154,97,11
41371,154,147,59
41372,154,98,10
41373,154,99,14
41374,154,148,48
41375,154,179,136
41376,154,180,131
41377,154,149,79
41378,154,150,59
41379,154,151,61
41380,154,152,76
41381,154,100,22
41382,154,101,14
41383,154,102,10
41384,154,153,76
41385,36,36,7
41386,36,37,3
41387,36,106,19
41388,36,107,25
41389,36,155,25
41390,36,38,12
41391,36,184,
41392,36,108,19
41393,36,39,25
41394,36,40,20
41395,36,194,
41396,36,195,
41397,36,191,
41398,36,41,30
41399,36,42,30
41400,36,109,25
41401,36,44,30
41402,36,110,8
41403,36,45,30
41404,36,46,7
41405,36,156,18
41406,36,111,7
41407,36,47,15
41408,36,112,20
41409,36,48,12
41410,36,43,30
41411,36,113,12
41412,36,114,30
41413,36,49,3
41414,36,50,30
41415,36,51,18
41416,36,52,29
41417,36,115,25
41418,36,116,3
41419,36,53,29
41420,36,54,5
41421,36,55,20
41422,36,56,20
41423,36,117,30
41424,36,118,5
41425,36,157,18
41426,36,182,29
41427,36,158,8
41428,36,193,
41429,36,192,
41430,36,185,
41431,36,57,25
41432,36,58,29
41433,36,159,28
41434,36,59,12
41435,36,60,7
41436,36,61,12
41437,36,160,3
41438,36,62,15
41439,36,161,29
41440,36,63,12
41441,36,64,28
41442,36,181,25
41443,36,65,8
41444,36,66,8
41445,36,67,18
41446,36,189,
41447,36,68,5
41448,36,119,19
41449,36,162,30
41450,36,120,5
41451,36,163,5
41452,36,121,7
41453,36,122,29
41454,36,164,15
41455,36,123,20
41456,36,124,29
41457,36,125,30
41458,36,127,20
41459,36,69,25
41460,36,165,12
41461,36,128,29
41462,36,129,7
41463,36,130,30
41464,36,131,12
41465,36,166,12
41466,36,126,28
41467,36,73,29
41468,36,70,30
41469,36,132,29
41470,36,71,20
41471,36,167,20
41472,36,72,12
41473,36,133,7
41474,36,74,7
41475,36,76,12
41476,36,183,
41477,36,75,7
41478,36,77,25
41479,36,78,20
41480,36,79,12
41481,36,134,18
41482,36,168,29
41483,36,187,
41484,36,188,
41485,36,135,5
41486,36,136,7
41487,36,169,3
41488,36,81,5
41489,36,170,7
41490,36,137,8
41491,36,172,7
41492,36,171,20
41493,36,80,25
41494,36,173,20
41495,36,138,19
41496,36,174,19
41497,36,139,3
41498,36,82,25
41499,36,83,19
41500,36,190,
41501,36,175,19
41502,36,84,3
41503,36,176,7
41504,36,85,18
41505,36,140,20
41506,36,86,20
41507,36,177,5
41508,36,87,20
41509,36,88,29
41510,36,141,20
41511,36,142,30
41512,36,143,25
41513,36,178,29
41514,36,89,7
41515,36,90,7
41516,36,91,25
41518,36,92,25
41519,36,144,7
41520,36,145,25
41521,36,93,19
41522,36,94,15
41523,36,146,30
41524,36,95,30
41525,36,96,30
41526,36,97,29
41527,36,147,25
41528,36,98,3
41529,36,99,19
41530,36,148,30
41531,36,179,7
41532,36,180,29
41533,36,149,12
41534,36,150,20
41535,36,151,29
41536,36,152,15
41537,36,100,7
41538,36,101,19
41539,36,102,18
41540,36,153,15
41541,37,37,3
41542,37,106,21
41543,37,107,10
41544,37,155,10
41545,37,38,10
41546,37,184,
41547,37,108,28
41548,37,39,10
41549,37,40,10
41550,37,194,
41551,37,195,
41552,37,191,
41553,37,41,31
41554,37,42,31
41555,37,109,3
41556,37,44,31
41557,37,110,10
41558,37,45,31
41559,37,46,3
41560,37,156,28
41561,37,111,10
41562,37,47,3
41563,37,112,3
41564,37,48,10
41565,37,43,31
41566,37,113,3
41567,37,114,31
41568,37,49,3
41569,37,50,10
41570,37,51,28
41571,37,52,3
41572,37,115,3
41573,37,116,3
41574,37,53,3
41575,37,54,3
41576,37,55,3
41577,37,56,3
41578,37,117,31
41579,37,118,3
41580,37,157,28
41581,37,182,31
41582,37,158,10
41583,37,193,
41584,37,192,
41585,37,185,
41586,37,57,3
41587,37,58,3
41588,37,159,28
41589,37,59,3
41590,37,60,3
41591,37,61,10
41592,37,160,3
41593,37,62,3
41594,37,161,3
41595,37,63,10
41596,37,64,28
41597,37,181,10
41598,37,65,10
41599,37,66,10
41600,37,67,28
41601,37,189,
41602,37,68,3
41603,37,119,21
41604,37,162,31
41605,37,120,3
41606,37,163,3
41607,37,121,10
41608,37,122,3
41609,37,164,3
41610,37,123,3
41611,37,124,31
41612,37,125,31
41613,37,127,10
41614,37,69,10
41615,37,165,3
41616,37,128,31
41617,37,129,10
41618,37,130,31
41619,37,131,10
41620,37,166,10
41621,37,126,28
41622,37,73,3
41623,37,70,10
41624,37,132,3
41625,37,71,10
41626,37,167,10
41627,37,72,10
41628,37,133,3
41629,37,74,3
41630,37,76,10
41631,37,183,
41632,37,75,10
41633,37,77,3
41634,37,78,3
41635,37,79,3
41636,37,134,28
41637,37,168,31
41638,37,187,
41639,37,188,
41640,37,135,3
41641,37,136,3
41642,37,169,3
41643,37,81,3
41644,37,170,3
41645,37,137,10
41646,37,172,10
41647,37,171,10
41648,37,80,3
41649,37,173,3
41650,37,138,21
41651,37,174,28
41652,37,139,3
41653,37,82,3
41654,37,83,28
41655,37,190,
41656,37,175,21
41657,37,84,3
41658,37,176,10
41659,37,85,10
41660,37,140,10
41661,37,86,10
41662,37,177,3
41663,37,87,10
41664,37,88,3
41665,37,141,3
41666,37,142,31
41667,37,143,10
41668,37,178,3
41669,37,89,3
41670,37,90,10
41671,37,91,3
