DigimonGroupDigimonId,DigimonGroupId,DigimonId,ELevel,HP,MP,Attack,Defense,Speed
75,38,77,11,,,,,
76,38,45,12,,,,,
77,39,82,0,,,,,
78,39,46,0,,,,,
79,39,89,0,,,,,
80,40,2,1,,,,,
81,42,14,2,,,,,
82,41,25,1,,,,,
83,42,25,2,,,,,
84,43,13,1,,,,,
85,43,12,1,,,,,
86,44,91,0,,,,,
87,44,77,0,,,,,
88,44,7,0,,,,,
89,45,18,3,,,,,
90,45,8,2,,,,,
91,45,12,3,,,,,
92,46,20,4,,,,,
93,46,2,4,,,,,
94,46,26,4,,,,,
95,47,99,11,,,,,
96,48,77,11,,,,,
97,49,77,11,,,,,
98,49,19,5,,,,,
99,49,45,12,,,,,
100,48,30,5,,,,,
101,48,82,12,,,,,
102,50,91,11,,,,,
103,50,55,13,,,,,
104,50,83,12,,,,,
105,47,101,11,,,,,
106,51,57,12,,,,,
107,51,67,12,,,,,
108,51,42,12,,,,,
109,52,99,0,,,,,
110,52,53,0,,,,,
111,52,11,0,,,,,
112,53,80,0,,,,,
113,53,149,0,,,,,
114,53,74,0,,,,,
115,54,6,1,,,,,
116,56,6,1,,,,,
117,56,6,1,,,,,
118,59,128,21,,,,,
119,55,22,2,,,,,
120,57,16,3,,,,,
121,57,11,3,,,,,
122,58,10,3,,,,,
123,58,4,3,,,,,
124,60,11,0,,,,,
125,60,38,0,,,,,
126,60,90,0,,,,,
127,61,10,3,,,,,
128,61,4,3,,,,,
129,62,4,5,,,,,
130,62,4,5,,,,,
131,62,21,4,,,,,
132,64,21,5,,,,,
133,64,102,12,,,,,
134,65,65,12,,,,,
135,67,85,12,,,,,
136,67,75,12,,,,,
137,67,38,13,,,,,
138,68,38,13,,,,,
139,68,100,13,,,,,
140,68,76,13,,,,,
141,63,48,11,,,,,
142,63,9,5,,,,,
143,65,66,12,,,,,
144,66,66,13,,,,,
145,66,66,13,,,,,
146,66,33,12,,,,,
147,69,39,0,,,,,
148,69,92,0,,,,,
149,69,48,0,,,,,
150,70,29,1,,,,,
151,74,29,4,,,,,
152,74,24,4,,,,,
153,74,5,4,,,,,
154,71,28,2,,,,,
155,75,28,5,,,,,
156,75,97,11,,,,,
157,71,27,2,,,,,
158,72,3,3,,,,,
159,72,15,3,,,,,
160,73,23,3,,,,,
161,73,23,3,,,,,
162,76,50,0,,,,,
163,76,37,0,,,,,
164,76,4,0,,,,,
165,77,28,5,,,,,
166,82,64,12,,,,,
167,82,182,13,,,,,
168,81,182,12,,,,,
169,81,35,12,,,,,
170,81,88,12,,,,,
171,78,5,5,,,,,
172,78,34,11,,,,,
173,79,73,12,,,,,
174,79,37,12,,,,,
175,80,37,12,,,,,
176,80,62,13,,,,,
177,80,58,12,,,,,
178,77,97,11,,,,,
179,82,84,13,,,,,
180,83,54,12,,,,,
181,83,81,12,,,,,
182,83,52,12,,,,,
183,84,52,13,,,,,
184,84,94,14,,,,,
185,84,47,13,,,,,
186,85,98,13,,,,,
187,85,68,13,,,,,
188,85,53,13,,,,,
189,86,32,0,,,,,
190,86,116,0,,,,,
191,86,102,0,,,,,
192,87,13,1,,,,,
193,87,12,1,,,,,
194,90,12,3,,,,,
195,90,18,3,,,,,
196,90,8,2,,,,,
197,88,14,2,,,,,
198,88,25,2,,,,,
199,89,7,3,,,,,
200,89,17,3,,,,,
201,91,20,4,,,,,
202,91,2,4,,,,,
203,91,26,4,,,,,
204,92,99,11,,,,,
205,92,101,11,,,,,
206,93,56,0,,,,,
207,93,67,0,,,,,
208,93,78,0,,,,,
209,94,99,11,,,,,
210,95,77,11,,,,,
211,96,77,11,,,,,
212,96,19,5,,,,,
213,96,45,12,,,,,
214,95,30,5,,,,,
215,95,82,12,,,,,
216,97,91,11,,,,,
217,97,55,13,,,,,
218,97,83,12,,,,,
219,98,57,12,,,,,
220,98,67,12,,,,,
221,99,67,13,,,,,
222,99,51,12,,,,,
223,99,80,12,,,,,
224,98,42,12,,,,,
225,100,79,13,,,,,
226,100,46,13,,,,,
227,101,46,14,,,,,
228,101,60,14,,,,,
229,101,59,13,,,,,
230,100,74,11,,,,,
231,102,36,13,,,,,
232,103,69,14,,,,,
233,103,92,14,,,,,
234,103,39,13,,,,,
235,94,101,11,,,,,
236,104,45,0,,,,,
237,104,142,0,,,,,
238,104,43,0,,,,,
239,105,22,2,,,,,
240,107,16,3,,,,,
241,107,11,3,,,,,
242,108,10,3,,,,,
243,108,4,3,,,,,
244,109,4,5,,,,,
245,109,4,5,,,,,
246,109,21,4,,,,,
247,110,9,5,,,,,
248,110,48,11,,,,,
249,106,6,1,,,,,
250,106,6,1,,,,,
251,111,84,0,,,,,
252,111,182,0,,,,,
253,111,29,0,,,,,
254,112,100,0,,,,,
255,112,86,0,,,,,
256,112,33,0,,,,,
257,113,21,5,,,,,
258,113,102,12,,,,,
259,114,65,12,,,,,
260,116,85,12,,,,,
261,116,75,12,,,,,
262,116,38,13,,,,,
263,117,38,13,,,,,
264,117,100,13,,,,,
265,117,76,13,,,,,
266,118,70,13,,,,,
267,118,96,13,,,,,
268,119,96,13,,,,,
269,119,40,13,,,,,
270,119,72,13,,,,,
271,115,33,12,,,,,
272,115,66,13,,,,,
273,114,66,12,,,,,
274,115,66,13,,,,,
275,118,71,13,,,,,
276,120,69,14,,,,,
277,120,92,14,,,,,
278,120,39,13,,,,,
279,121,82,0,,,,,
280,121,132,0,,,,,
281,121,75,0,,,,,
282,123,57,0,,,,,
283,123,121,0,,,,,
284,123,129,0,,,,,
285,122,111,0,,,,,
286,122,110,0,,,,,
287,122,92,0,,,,,
288,124,38,0,,,,,
289,124,129,0,,,,,
290,124,69,0,,,,,
291,125,5,5,,,,,
292,125,34,11,,,,,
293,146,81,13,,,,,
294,140,81,12,,,,,
295,140,54,12,,,,,
296,140,52,12,,,,,
297,127,82,12,,,,,
298,127,77,11,,,,,
299,130,77,11,,,,,
300,130,19,5,,,,,
301,130,45,12,,,,,
302,127,30,5,,,,,
303,126,21,5,,,,,
304,126,102,12,,,,,
305,128,73,12,,,,,
306,150,61,13,,,,,
307,150,93,13,,,,,
308,150,137,21,,,,,
309,128,37,12,,,,,
310,131,37,12,,,,,
311,131,62,13,,,,,
312,131,58,12,,,,,
313,147,50,13,,,,,
314,147,87,14,,,,,
315,141,71,13,,,,,
316,141,70,13,,,,,
317,141,96,13,,,,,
318,132,33,12,,,,,
319,132,66,13,,,,,
320,129,66,12,,,,,
321,129,65,12,,,,,
322,135,85,12,,,,,
323,135,75,12,,,,,
324,135,38,13,,,,,
325,138,38,13,,,,,
326,138,100,13,,,,,
327,138,76,13,,,,,
328,134,88,12,,,,,
329,134,35,12,,,,,
330,134,182,12,,,,,
331,137,182,13,,,,,
332,137,64,12,,,,,
333,137,84,13,,,,,
334,132,66,13,,,,,
335,147,86,14,,,,,
336,146,47,14,,,,,
337,146,32,14,,,,,
338,148,41,14,,,,,
339,136,42,12,,,,,
340,136,57,12,,,,,
341,136,67,12,,,,,
342,139,67,13,,,,,
343,139,51,12,,,,,
344,139,80,12,,,,,
345,133,91,11,,,,,
346,133,55,13,,,,,
347,133,83,12,,,,,
348,142,74,11,,,,,
349,142,79,13,,,,,
350,142,46,13,,,,,
351,148,44,14,,,,,
352,148,89,14,,,,,
353,151,78,14,,,,,
354,151,147,21,,,,,
355,151,56,14,,,,,
356,143,98,13,,,,,
357,143,68,13,,,,,
358,143,53,13,,,,,
359,149,53,14,,,,,
360,149,104,21,,,,,
361,149,53,13,,,,,
362,144,69,14,,,,,
363,144,92,14,,,,,
364,144,39,13,,,,,
365,145,36,13,,,,,
366,152,113,0,,,,,
367,152,108,0,,,,,
368,152,79,0,,,,,
369,153,5,5,,,,,
370,153,34,11,,,,,
371,154,73,12,,,,,
372,171,60,14,,,,,
373,171,46,14,,,,,
374,167,46,13,,,,,
375,167,79,13,,,,,
376,167,74,11,,,,,
377,156,77,11,,,,,
378,157,77,11,,,,,
379,157,19,5,,,,,
380,157,45,12,,,,,
381,156,30,5,,,,,
382,156,82,12,,,,,
383,158,91,11,,,,,
384,158,55,13,,,,,
385,158,83,12,,,,,
386,163,64,12,,,,,
387,163,182,13,,,,,
388,162,182,12,,,,,
389,162,35,12,,,,,
390,162,88,12,,,,,
391,168,38,13,,,,,
392,169,38,13,,,,,
393,169,100,13,,,,,
394,169,76,13,,,,,
395,168,75,12,,,,,
396,168,85,12,,,,,
397,160,65,12,,,,,
398,160,66,12,,,,,
399,161,66,13,,,,,
400,161,66,13,,,,,
401,161,33,12,,,,,
402,170,96,13,,,,,
403,174,96,13,,,,,
404,174,40,13,,,,,
405,174,72,13,,,,,
406,170,70,13,,,,,
407,170,71,13,,,,,
408,176,87,14,,,,,
409,176,86,14,,,,,
410,171,59,13,,,,,
411,176,50,13,,,,,
412,154,37,12,,,,,
413,155,37,12,,,,,
414,155,62,13,,,,,
415,155,58,12,,,,,
416,163,84,13,,,,,
417,164,54,12,,,,,
418,164,81,12,,,,,
419,164,52,12,,,,,
420,165,57,12,,,,,
421,165,67,12,,,,,
422,166,67,13,,,,,
423,166,51,12,,,,,
424,166,80,12,,,,,
425,165,42,12,,,,,
426,173,41,14,,,,,
427,173,44,14,,,,,
428,173,89,14,,,,,
429,172,36,13,,,,,
430,175,69,14,,,,,
431,175,92,14,,,,,
432,175,39,13,,,,,
433,178,61,13,,,,,
434,178,93,13,,,,,
435,178,137,21,,,,,
436,159,21,5,,,,,
437,159,102,12,,,,,
438,179,78,14,,,,,
439,179,147,21,,,,,
440,179,56,14,,,,,
441,177,53,14,,,,,
442,177,104,21,,,,,
443,177,53,13,,,,,
444,180,126,0,,,,,
445,180,174,0,,,,,
446,180,83,0,,,,,
447,181,114,0,,,,,
448,181,178,0,,,,,
449,181,44,0,,,,,
450,182,41,0,,,,,
451,182,147,0,,,,,
452,182,95,0,,,,,
453,183,64,15,,,,,
454,186,126,23,,,,,
455,186,130,23,,,,,
456,186,103,23,,,,,
457,184,151,22,,,,,
458,184,151,22,,,,,
459,184,118,22,,,,,
460,185,118,23,,,,,
461,185,116,23,,,,,
462,185,132,23,,,,,
463,183,128,22,,,,,
464,183,35,15,,,,,
465,187,152,24,,,,,
466,187,153,24,,,,,
467,188,59,0,,,,,
468,188,153,0,,,,,
469,188,61,0,,,,,
470,189,135,24,,,,,
471,189,126,24,,,,,
472,189,105,24,,,,,
473,190,129,25,,,,,
474,190,143,25,,,,,
475,191,143,0,,,,,
476,191,37,0,,,,,
477,191,107,0,,,,,
478,192,122,25,,,,,
479,192,122,25,,,,,
480,192,120,24,,,,,
481,193,152,25,,,,,
482,193,178,31,,,,,
483,194,135,26,,,,,
484,194,180,32,,,,,
485,195,144,25,,,,,
486,195,108,24,,,,,
487,195,141,25,,,,,
488,196,93,0,,,,,
489,196,126,0,,,,,
490,196,101,0,,,,,
491,197,115,0,,,,,
492,197,157,0,,,,,
493,197,114,0,,,,,
494,198,78,14,,,,,
495,198,147,21,,,,,
496,198,56,14,,,,,
497,199,125,22,,,,,
498,203,130,24,,,,,
499,203,134,24,,,,,
500,202,134,23,,,,,
501,202,115,23,,,,,
502,202,113,23,,,,,
503,203,109,24,,,,,
504,199,142,22,,,,,
505,200,142,22,,,,,
506,200,117,22,,,,,
507,200,43,15,,,,,
508,201,149,23,,,,,
509,201,136,23,,,,,
510,201,114,23,,,,,
511,205,108,24,,,,,
512,205,144,25,,,,,
513,205,141,25,,,,,
514,199,95,15,,,,,
515,204,112,24,,,,,
516,204,123,24,,,,,
517,204,150,24,,,,,
518,206,133,26,,,,,
519,206,173,31,,,,,
520,208,173,32,,,,,
521,208,157,32,,,,,
522,207,129,25,,,,,
523,207,143,25,,,,,
524,209,162,0,,,,,
525,209,170,0,,,,,
526,209,111,0,,,,,
527,210,130,0,,,,,
528,210,155,0,,,,,
529,210,57,0,,,,,
530,211,149,0,,,,,
531,211,113,0,,,,,
532,211,115,0,,,,,
533,212,93,13,,,,,
534,212,137,21,,,,,
535,212,61,13,,,,,
536,213,90,15,,,,,
537,213,138,22,,,,,
538,213,63,15,,,,,
539,214,110,22,,,,,
540,214,121,22,,,,,
541,215,121,23,,,,,
542,215,121,23,,,,,
543,215,131,23,,,,,
544,216,107,22,,,,,
545,220,143,25,,,,,
546,220,129,25,,,,,
547,221,129,25,,,,,
548,221,155,32,,,,,
549,217,148,24,,,,,
550,217,146,24,,,,,
551,216,146,23,,,,,
552,217,106,24,,,,,
553,216,119,23,,,,,
554,214,111,22,,,,,
555,218,140,23,,,,,
556,219,140,25,,,,,
557,219,167,31,,,,,
558,218,127,24,,,,,
559,218,145,24,,,,,
560,222,183,0,,,,,
561,223,122,25,,,,,
562,223,122,25,,,,,
563,223,120,24,,,,,
564,224,152,25,,,,,
565,238,164,35,,,,,
566,238,177,35,,,,,
567,238,161,35,,,,,
568,235,163,34,,,,,
569,235,180,34,,,,,
570,229,180,32,,,,,
571,229,135,26,,,,,
572,230,157,32,,,,,
573,233,157,33,,,,,
574,233,174,33,,,,,
575,236,174,34,,,,,
576,236,162,34,,,,,
577,236,162,34,,,,,
578,239,162,35,,,,,
579,239,179,35,,,,,
580,226,133,26,,,,,
581,226,173,31,,,,,
582,230,173,32,,,,,
583,239,170,35,,,,,
584,232,159,33,,,,,
585,232,178,33,,,,,
586,224,178,31,,,,,
587,237,166,34,,,,,
588,237,155,34,,,,,
589,231,155,32,,,,,
590,231,129,26,,,,,
591,227,129,25,,,,,
592,227,143,25,,,,,
593,237,158,34,,,,,
594,233,165,33,,,,,
595,235,169,34,,,,,
596,240,176,35,,,,,
597,240,172,35,,,,,
598,240,175,35,,,,,
599,225,144,25,,,,,
600,225,108,24,,,,,
601,225,141,25,,,,,
602,228,140,25,,,,,
603,228,167,31,,,,,
604,234,167,33,,,,,
605,234,171,33,,,,,
606,241,154,35,,,,,
607,241,11,5,,,,,
608,241,11,5,,,,,
609,243,156,35,,,,,
610,243,2,5,,,,,
611,243,2,5,,,,,
612,242,168,35,,,,,
613,242,29,5,,,,,
614,242,29,5,,,,,
615,244,64,12,,,,,
616,244,182,13,,,,,
617,244,84,13,,,,,
618,245,70,13,,,,,
619,245,96,13,,,,,
620,245,71,13,,,,,
621,246,130,0,,,,,
622,247,75,12,,,,,
623,247,38,13,,,,,
624,248,38,13,,,,,
625,248,100,13,,,,,
626,248,76,13,,,,,
627,249,70,13,,,,,
628,249,96,13,,,,,
629,250,96,13,,,,,
630,250,40,13,,,,,
631,250,72,13,,,,,
632,249,71,13,,,,,
633,252,87,14,,,,,
634,252,86,14,,,,,
635,252,50,13,,,,,
636,251,69,14,,,,,
637,251,92,14,,,,,
638,251,39,13,,,,,
639,255,110,22,,,,,
640,255,121,22,,,,,
641,255,111,22,,,,,
642,254,90,15,,,,,
643,253,61,13,,,,,
644,253,93,13,,,,,
645,253,137,21,,,,,
646,254,63,15,,,,,
647,254,138,22,,,,,
648,247,85,12,,,,,
649,256,69,0,,,,,
650,256,143,0,,,,,
651,256,50,0,,,,,
652,257,54,12,,,,,
653,257,81,12,,,,,
654,262,81,13,,,,,
655,262,47,14,,,,,
656,260,47,13,,,,,
657,260,94,14,,,,,
658,260,52,13,,,,,
659,257,52,12,,,,,
660,259,64,12,,,,,
661,264,64,15,,,,,
662,264,128,22,,,,,
663,264,35,15,,,,,
664,258,35,12,,,,,
665,258,182,12,,,,,
666,259,182,13,,,,,
667,258,88,12,,,,,
668,263,53,14,,,,,
669,261,53,13,,,,,
670,261,98,13,,,,,
671,261,68,13,,,,,
672,263,53,13,,,,,
673,263,104,21,,,,,
674,265,151,22,,,,,
675,265,151,22,,,,,
676,265,118,22,,,,,
677,259,84,13,,,,,
678,262,32,14,,,,,
679,266,62,0,,,,,
680,266,153,0,,,,,
681,266,94,0,,,,,
682,267,57,12,,,,,
683,267,67,12,,,,,
684,268,67,13,,,,,
685,268,51,12,,,,,
686,275,43,15,,,,,
687,275,117,22,,,,,
688,275,142,22,,,,,
689,274,142,22,,,,,
690,274,125,22,,,,,
691,274,95,15,,,,,
692,269,79,13,,,,,
693,269,46,13,,,,,
694,270,46,14,,,,,
695,270,60,14,,,,,
696,270,59,13,,,,,
697,269,74,11,,,,,
698,268,80,12,,,,,
699,271,36,13,,,,,
700,272,41,14,,,,,
701,267,42,12,,,,,
702,272,44,14,,,,,
703,272,89,14,,,,,
704,273,78,14,,,,,
705,273,147,21,,,,,
706,273,56,14,,,,,
707,276,36,0,,,,,
708,276,136,0,,,,,
709,276,45,0,,,,,
710,277,64,12,,,,,
711,295,64,15,,,,,
712,295,128,22,,,,,
713,295,35,15,,,,,
714,292,53,14,,,,,
715,286,53,13,,,,,
716,286,98,13,,,,,
717,286,68,13,,,,,
718,285,72,13,,,,,
719,285,40,13,,,,,
720,305,134,23,,,,,
721,305,115,23,,,,,
722,305,113,23,,,,,
723,293,93,13,,,,,
724,293,137,21,,,,,
725,293,61,13,,,,,
726,297,90,15,,,,,
727,297,138,22,,,,,
728,297,63,15,,,,,
729,284,60,14,,,,,
730,284,46,14,,,,,
731,281,46,13,,,,,
732,281,79,13,,,,,
733,281,74,11,,,,,
734,278,80,12,,,,,
735,278,51,12,,,,,
736,299,43,15,,,,,
737,299,117,22,,,,,
738,299,142,22,,,,,
739,296,142,22,,,,,
740,296,125,22,,,,,
741,296,95,15,,,,,
742,279,100,13,,,,,
743,279,38,13,,,,,
744,279,76,13,,,,,
745,280,54,12,,,,,
746,280,81,12,,,,,
747,289,81,13,,,,,
748,289,47,14,,,,,
749,283,47,13,,,,,
750,283,94,14,,,,,
751,283,52,13,,,,,
752,280,52,12,,,,,
753,282,71,13,,,,,
754,282,70,13,,,,,
755,282,96,13,,,,,
756,285,96,13,,,,,
757,304,130,23,,,,,
758,304,126,23,,,,,
759,304,103,23,,,,,
760,291,87,14,,,,,
761,291,86,14,,,,,
762,284,59,13,,,,,
763,291,50,13,,,,,
764,301,116,23,,,,,
765,301,118,23,,,,,
766,298,118,22,,,,,
767,298,151,22,,,,,
768,298,151,22,,,,,
769,301,132,23,,,,,
770,289,32,14,,,,,
771,290,41,14,,,,,
772,290,44,14,,,,,
773,290,89,14,,,,,
774,294,78,14,,,,,
775,294,147,21,,,,,
776,294,56,14,,,,,
777,302,149,23,,,,,
778,302,136,23,,,,,
779,302,114,23,,,,,
780,287,36,13,,,,,
781,288,69,14,,,,,
782,288,92,14,,,,,
783,288,39,13,,,,,
784,300,121,22,,,,,
785,303,121,23,,,,,
786,303,121,23,,,,,
787,303,131,23,,,,,
788,300,110,22,,,,,
789,300,111,22,,,,,
790,278,67,13,,,,,
791,292,53,13,,,,,
792,292,104,21,,,,,
793,277,182,13,,,,,
794,277,84,13,,,,,
795,306,107,22,,,,,
796,306,146,23,,,,,
797,306,119,23,,,,,
798,307,65,0,,,,,
799,307,138,0,,,,,
800,307,101,0,,,,,
801,308,79,13,,,,,
802,308,46,13,,,,,
803,309,46,14,,,,,
804,309,60,14,,,,,
805,309,59,13,,,,,
806,310,36,13,,,,,
807,311,41,14,,,,,
808,311,44,14,,,,,
809,311,89,14,,,,,
810,312,78,14,,,,,
811,312,147,21,,,,,
812,312,56,14,,,,,
813,313,125,22,,,,,
814,317,130,24,,,,,
815,317,134,24,,,,,
816,316,134,23,,,,,
817,316,115,23,,,,,
818,316,113,23,,,,,
819,317,109,24,,,,,
820,313,142,22,,,,,
821,314,142,22,,,,,
822,314,117,22,,,,,
823,314,43,15,,,,,
824,315,149,23,,,,,
825,315,136,23,,,,,
826,315,114,23,,,,,
827,313,95,15,,,,,
828,308,74,11,,,,,
829,318,146,0,,,,,
830,318,180,0,,,,,
831,318,140,0,,,,,
832,319,70,13,,,,,
833,328,148,24,,,,,
834,328,146,24,,,,,
835,327,146,23,,,,,
836,327,107,22,,,,,
837,327,119,23,,,,,
838,324,90,15,,,,,
839,323,61,13,,,,,
840,323,93,13,,,,,
841,323,137,21,,,,,
842,324,63,15,,,,,
843,324,138,22,,,,,
844,325,110,22,,,,,
845,325,121,22,,,,,
846,326,121,23,,,,,
847,326,121,23,,,,,
848,326,131,23,,,,,
849,320,40,13,,,,,
850,320,96,13,,,,,
851,319,96,13,,,,,
852,320,72,13,,,,,
853,321,69,14,,,,,
854,321,92,14,,,,,
855,321,39,13,,,,,
856,322,87,14,,,,,
857,319,71,13,,,,,
858,322,86,14,,,,,
859,322,50,13,,,,,
860,325,111,22,,,,,
861,328,106,24,,,,,
862,329,140,23,,,,,
863,329,127,24,,,,,
864,329,145,24,,,,,
865,330,125,0,,,,,
866,330,86,0,,,,,
867,330,117,0,,,,,
868,331,54,12,,,,,
869,331,81,12,,,,,
870,334,81,13,,,,,
871,334,47,14,,,,,
872,332,47,13,,,,,
873,332,94,14,,,,,
874,332,52,13,,,,,
875,331,52,12,,,,,
876,333,98,13,,,,,
877,333,68,13,,,,,
878,340,135,24,,,,,
879,340,126,24,,,,,
880,339,126,23,,,,,
881,339,130,23,,,,,
882,339,103,23,,,,,
883,335,53,14,,,,,
884,333,53,13,,,,,
885,335,53,13,,,,,
886,335,104,21,,,,,
887,336,64,15,,,,,
888,336,128,22,,,,,
889,336,35,15,,,,,
890,337,151,22,,,,,
891,337,151,22,,,,,
892,337,118,22,,,,,
893,338,118,23,,,,,
894,338,116,23,,,,,
895,338,132,23,,,,,
896,340,105,24,,,,,
897,341,152,24,,,,,
898,341,153,24,,,,,
899,334,32,14,,,,,
900,342,111,0,,,,,
901,342,134,0,,,,,
902,342,75,0,,,,,
903,343,110,0,,,,,
904,343,132,0,,,,,
905,343,90,0,,,,,
906,344,105,0,,,,,
907,344,120,0,,,,,
908,344,116,0,,,,,
909,345,137,0,,,,,
910,345,119,0,,,,,
911,345,106,0,,,,,
912,346,147,0,,,,,
913,346,136,0,,,,,
914,346,133,0,,,,,
915,347,55,0,,,,,
916,347,55,0,,,,,
917,347,141,0,,,,,
918,348,118,0,,,,,
919,348,170,0,,,,,
920,348,104,0,,,,,
921,349,53,14,,,,,
922,349,53,13,,,,,
923,349,104,21,,,,,
924,350,87,14,,,,,
925,352,47,14,,,,,
926,352,32,14,,,,,
927,352,81,13,,,,,
928,373,120,24,,,,,
929,373,122,25,,,,,
930,373,122,25,,,,,
931,354,41,14,,,,,
932,354,44,14,,,,,
933,354,89,14,,,,,
934,378,133,26,,,,,
935,378,173,31,,,,,
936,351,78,14,,,,,
937,351,147,21,,,,,
938,351,56,14,,,,,
939,356,90,15,,,,,
940,353,61,13,,,,,
941,353,93,13,,,,,
942,353,137,21,,,,,
943,366,115,23,,,,,
944,366,134,23,,,,,
945,369,134,24,,,,,
946,369,130,24,,,,,
947,364,130,23,,,,,
948,364,126,23,,,,,
949,367,126,24,,,,,
950,367,135,24,,,,,
951,367,105,24,,,,,
952,358,64,15,,,,,
953,358,128,22,,,,,
954,358,35,15,,,,,
955,364,103,23,,,,,
956,360,125,22,,,,,
957,360,142,22,,,,,
958,357,142,22,,,,,
959,357,117,22,,,,,
960,357,43,15,,,,,
961,363,149,23,,,,,
962,363,136,23,,,,,
963,363,114,23,,,,,
964,375,108,24,,,,,
965,375,144,25,,,,,
966,355,118,22,,,,,
967,361,118,23,,,,,
968,361,116,23,,,,,
969,350,50,13,,,,,
970,361,132,23,,,,,
971,355,151,22,,,,,
972,355,151,22,,,,,
973,375,141,25,,,,,
974,360,95,15,,,,,
975,369,109,24,,,,,
976,366,113,23,,,,,
977,370,152,24,,,,,
978,376,152,25,,,,,
979,376,178,31,,,,,
980,350,86,14,,,,,
981,370,153,24,,,,,
982,356,63,15,,,,,
983,356,138,22,,,,,
984,365,107,22,,,,,
985,374,143,25,,,,,
986,374,129,25,,,,,
987,365,146,23,,,,,
988,368,146,24,,,,,
989,368,148,24,,,,,
990,368,106,24,,,,,
991,365,119,23,,,,,
992,359,110,22,,,,,
993,359,121,22,,,,,
994,362,121,23,,,,,
995,362,121,23,,,,,
996,362,131,23,,,,,
997,359,111,22,,,,,
998,372,123,24,,,,,
999,372,112,24,,,,,
1000,372,150,24,,,,,
1001,371,127,24,,,,,
1002,371,140,23,,,,,
1003,377,140,25,,,,,
1004,377,167,31,,,,,
1005,371,145,24,,,,,
1006,379,133,0,,,,,
1007,379,179,0,,,,,
1008,379,138,0,,,,,
1009,380,184,0,,,,,
1010,381,3,1,,,,,
1011,387,3,3,,,,,
1012,387,15,3,,,,,
1013,382,2,1,,,,,
1014,384,28,2,,,,,
1015,390,28,5,,,,,
1016,390,97,11,,,,,
1017,414,132,23,,,,,
1018,414,116,23,,,,,
1019,393,37,12,,,,,
1020,393,73,12,,,,,
1021,403,60,14,,,,,
1022,403,46,14,,,,,
1023,403,59,13,,,,,
1024,406,86,14,,,,,
1025,406,87,14,,,,,
1026,423,152,24,,,,,
1027,429,152,25,,,,,
1028,429,178,31,,,,,
1029,435,178,33,,,,,
1030,435,159,33,,,,,
1031,411,64,15,,,,,
1032,411,128,22,,,,,
1033,411,35,15,,,,,
1034,396,35,12,,,,,
1035,396,182,12,,,,,
1036,396,88,12,,,,,
1037,401,38,13,,,,,
1038,401,100,13,,,,,
1039,401,76,13,,,,,
1040,397,91,11,,,,,
1041,391,99,11,,,,,
1042,391,101,11,,,,,
1043,394,77,11,,,,,
1044,394,82,12,,,,,
1045,394,30,5,,,,,
1046,386,22,2,,,,,
1047,397,83,12,,,,,
1048,400,80,12,,,,,
1049,400,51,12,,,,,
1050,412,43,15,,,,,
1051,412,117,22,,,,,
1052,412,142,22,,,,,
1053,409,142,22,,,,,
1054,409,125,22,,,,,
1055,421,130,24,,,,,
1056,417,130,23,,,,,
1057,417,126,23,,,,,
1058,420,126,24,,,,,
1059,420,135,24,,,,,
1060,432,135,26,,,,,
1061,432,180,32,,,,,
1062,418,115,23,,,,,
1063,418,134,23,,,,,
1064,421,134,24,,,,,
