DigimonGroupId,DomainId,IsAfterBloodKnights,ExperiencePoints,Bits,IsBoss,Note
226,15,True,516,1300,False,
227,15,True,495,1560,False,
228,15,True,514,1430,False,
229,15,True,560,1400,False,
230,15,True,622,980,False,
231,15,True,595,1960,False,
232,15,True,754,1350,False,
233,15,True,1051,1950,False,
234,15,True,726,1650,False,
235,15,True,1190,2080,False,
236,15,True,1164,2400,False,
237,15,True,1211,2720,False,
238,15,True,1491,2380,False,
239,15,True,1530,3060,False,
240,15,True,1544,3740,False,
241,15,True,617,1400,False,
242,15,True,588,1400,False,
243,15,True,627,1580,False,
244,16,True,193,910,False,
245,16,True,199,910,False,
246,16,True,476,900,True,
247,17,True,145,660,False,
248,17,True,189,1260,False,
249,17,True,199,910,False,
250,17,True,230,1120,False,
251,17,True,237,1520,False,
252,17,True,291,1170,False,
253,17,True,303,1080,False,
254,17,True,348,1600,False,
255,17,True,373,1900,False,
256,17,True,1011,3500,True,
257,18,True,195,980,False,
258,18,True,142,900,False,
259,18,True,193,910,False,
260,18,True,244,960,False,
261,18,True,237,1200,False,
262,18,True,299,1260,False,
263,18,True,296,1530,False,
264,18,True,360,1500,False,
265,18,True,369,1700,False,
266,18,True,1003,2800,True,
267,19,True,148,960,False,
268,19,True,193,910,False,
269,19,True,191,1120,False,
270,19,True,231,1120,False,
271,19,True,75,480,False,
272,19,True,299,1530,False,
273,19,True,290,1170,False,
274,19,True,365,1800,False,
275,19,True,377,1900,False,
276,19,True,1147,4200,True,
277,20,True,193,910,False,
278,20,True,193,910,False,
279,20,True,189,1260,False,
280,20,True,195,980,False,
281,20,True,191,1120,False,
282,20,True,199,910,False,
283,20,True,244,960,False,
284,20,True,231,1120,False,
285,20,True,230,1120,False,
286,20,True,237,1200,False,
287,20,True,75,480,False,
288,20,True,237,1520,False,
289,20,True,299,1260,False,
290,20,True,299,1530,False,
291,20,True,291,1170,False,
292,20,True,296,1530,False,
293,20,True,303,1080,False,
294,20,True,290,1170,False,
295,20,True,360,1500,False,
296,20,True,365,1800,False,
297,20,True,348,1600,False,
298,20,True,369,1700,False,
299,20,True,377,1900,False,
300,20,True,373,1900,False,
301,20,True,469,1650,False,
302,20,True,485,1980,False,
303,20,True,452,2310,False,
304,20,True,482,1430,False,
305,20,True,484,1540,False,
306,20,True,476,1430,False,
307,20,True,1368,3300,True,
308,21,True,191,1120,False,
309,21,True,231,1120,False,
310,21,True,75,480,False,
311,21,True,299,1530,False,
312,21,True,290,1170,False,
313,21,True,365,1800,False,
314,21,True,377,1900,False,
315,21,True,485,1980,False,
316,21,True,484,1540,False,
317,21,True,585,2040,False,
318,21,True,1674,3960,True,
319,22,True,199,910,False,
320,22,True,230,1120,False,
321,22,True,237,1520,False,
322,22,True,291,1170,False,
323,22,True,303,1080,False,
324,22,True,348,1600,False,
325,22,True,373,1900,False,
326,22,True,452,2310,False,
327,22,True,476,1430,False,
328,22,True,586,1560,False,
329,22,True,613,1800,False,
330,22,True,1657,4800,True,
331,23,True,195,980,False,
332,23,True,244,960,False,
333,23,True,237,1200,False,
334,23,True,299,1260,False,
335,23,True,296,1530,False,
336,23,True,360,1500,False,
337,23,True,369,1700,False,
338,23,True,469,1650,False,
339,23,True,482,1430,False,
340,23,True,570,1560,False,
341,23,True,453,960,False,
342,23,True,708,2400,True,
343,23,True,708,2600,True,
344,23,True,966,2860,True,
345,23,True,966,2420,True,
346,23,True,966,3740,True,
347,23,True,248,2400,True,
348,23,True,1878,5520,True,
349,24,True,296,1530,False,
350,24,True,291,1170,False,
351,24,True,290,1170,False,
352,24,True,299,1260,False,
353,24,True,303,1080,False,
354,24,True,299,1530,False,
355,24,True,369,1700,False,
356,24,True,348,1600,False,
357,24,True,377,1900,False,
358,24,True,360,1500,False,
359,24,True,373,1900,False,
360,24,True,365,1800,False,
361,24,True,469,1650,False,
362,24,True,452,2310,False,
363,24,True,485,1980,False,
364,24,True,482,1430,False,
365,24,True,476,1430,False,
366,24,True,484,1540,False,
367,24,True,570,1560,False,
368,24,True,586,1560,False,
369,24,True,585,2040,False,
370,24,True,453,960,False,
371,24,True,613,1800,False,
372,24,True,613,1800,False,
373,24,True,702,1950,False,
374,24,True,495,1560,False,
375,24,True,723,1820,False,
376,24,True,550,1300,False,
377,24,True,514,1430,False,
378,24,True,516,1300,False,
379,24,True,1572,4680,True,
380,24,True,1179,2340,True,
381,25,True,3,30,False,
382,25,True,3,50,False,
383,25,True,4,40,False,
384,25,True,12,180,False,
385,25,True,11,200,False,
386,25,True,7,100,False,
387,25,True,21,210,False,
388,25,True,27,390,False,
389,25,True,22,360,False,
390,25,True,55,320,False,
391,25,True,53,240,False,
392,25,True,58,520,False,
393,25,True,78,500,False,
394,25,True,104,900,False,
395,25,True,66,300,False,
396,25,True,142,900,False,
397,25,True,139,780,False,
398,25,True,143,540,False,
399,25,True,195,980,False,
400,25,True,193,910,False,
401,25,True,189,1260,False,
402,25,True,237,1200,False,
403,25,True,231,1120,False,
404,25,True,230,1120,False,
405,25,True,299,1260,False,
406,25,True,291,1170,False,
407,25,True,299,1530,False,
408,25,True,369,1700,False,
409,25,True,365,1800,False,
410,25,True,348,1600,False,
411,25,True,360,1500,False,
412,25,True,377,1900,False,
413,25,True,373,1900,False,
414,25,True,469,1650,False,
415,25,True,485,1980,False,
416,25,True,452,2310,False,
417,25,True,482,1430,False,
418,25,True,484,1540,False,
419,25,True,476,1430,False,
420,25,True,570,1560,False,
421,25,True,585,2040,False,
422,25,True,586,1560,False,
423,25,True,453,960,False,
424,25,True,613,1800,False,
425,25,True,613,1800,False,
426,25,True,702,1950,False,
427,25,True,723,1820,False,
428,25,True,495,1560,False,
429,25,True,550,1300,False,
430,25,True,516,1300,False,
431,25,True,514,1430,False,
432,25,True,560,1400,False,
433,25,True,622,980,False,
434,25,True,595,1960,False,
435,25,True,754,1350,False,
436,25,True,1051,1950,False,
437,25,True,726,1650,False,
438,25,True,1795,2250,True,
439,26,True,360,1500,False,
440,26,True,369,1700,False,
441,26,True,469,1650,False,
442,26,True,365,1800,False,
443,26,True,377,1900,False,
444,26,True,484,1540,False,
445,26,True,348,1600,False,
446,26,True,373,1900,False,
447,26,True,452,2310,False,
448,26,True,482,1430,False,
449,26,True,570,1560,False,
450,26,True,485,1980,False,
451,26,True,585,2040,False,
452,26,True,476,1430,False,
453,26,True,586,1560,False,
454,26,True,453,960,False,
455,26,True,702,1950,False,
456,26,True,613,1800,False,
457,26,True,613,1800,False,
458,26,True,514,1430,False,
459,26,True,550,1300,False,
460,26,True,560,1400,False,
461,26,True,723,1820,False,
462,26,True,516,1300,False,
463,26,True,622,980,False,
464,26,True,495,1560,False,
465,26,True,595,1960,False,
466,26,True,754,1350,False,
467,26,True,1051,1950,False,
468,26,True,726,1650,False,
469,26,True,1190,2080,False,
470,26,True,1164,2400,False,
471,26,True,1211,2720,False,
472,26,True,848,1600,True,
473,26,True,4468,5600,True,
